Row_ID (interval=1s),CPU_Freq_MHz,Vcore_V,CPU_Temp_C,MB_Temp_C,Package_Power_W,CPU_Fan_RPM
509,4218.975,1.31,38.0,26.0,86.69,2020
510,4218.975,1.31,38.0,26.0,85.63,2014
511,4255.349,1.31,38.0,26.0,87.91,2020
512,4218.975,1.31,39.0,26.0,86.76,2020
513,4218.975,1.31,39.0,26.0,88.77,2020
514,4218.975,1.31,39.0,26.0,86.76,2020
515,4259.858,1.31,38.0,26.0,88.54,2027
516,4218.975,1.31,39.0,26.0,87.87,2020
517,4218.975,1.31,39.0,26.0,87.74,2020
518,4218.975,1.31,39.0,26.0,86.66,2027
519,4253.068,1.31,39.0,26.0,88.09,2020
520,4218.975,1.31,39.0,26.0,87.09,2020
521,4218.975,1.31,39.0,26.0,87.05,2020
522,4350.058,1.31,39.0,26.0,87.84,2033
